Fecha Inicio|Fecha fin|Nombre Patron|RP|estado|Salario|Tipo Movs
25/09/2000|24/01/2001|TALLERES ARTE, S.A. DE C.V. |0108382010|CIUDAD DE MÉXICO|44.37|"8|7"
25/01/2001|23/04/2001|TALLERES ARTE, S.A. DE C.V. |0108382010|CIUDAD DE MÉXICO|57.58|"7|2"
03/05/2001|31/12/2001|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|53.22|"8|7"
01/01/2002|15/06/2002|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|57.22|"7|7"
16/06/2002|31/12/2002|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|58.07|"7|7"
01/01/2003|30/04/2003|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|61.9|"7|7"
02/04/2003|30/04/2003|SERVICIOS CORPORATIVOS PARA ESTACIONAMIENTOS, S.A. DE C.V. |Y642417810|CIUDAD DE MÉXICO|59.0|"8|7"
01/05/2003|02/05/2003|SERVICIOS CORPORATIVOS PARA ESTACIONAMIENTOS, S.A. DE C.V. |Y642417810|CIUDAD DE MÉXICO|59.97|"7|2"
01/05/2003|30/06/2003|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|81.26|"7|7"
01/07/2003|31/12/2003|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|61.9|"7|7"
01/01/2004|30/04/2004|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|64.58|"7|7"
01/05/2004|30/06/2004|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|70.87|"7|7"
01/07/2004|30/11/2004|TERMINAL CENTRAL DEL NORTE DEL DF, S.A. DE C.V. |B151102710|CIUDAD DE MÉXICO|64.58|"7|2"
06/01/2006|28/02/2006|WALDOS SERVICIOS PROFESIONALES, S. DE R.L. DE C.V. |Y686349310|CIUDAD DE MÉXICO|78.21|"8|7"
01/03/2006|13/03/2006|WALDOS SERVICIOS PROFESIONALES, S. DE R.L. DE C.V. |Y686349310|CIUDAD DE MÉXICO|87.46|"7|2"
02/09/2008|15/09/2008|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|98.24|"8|7"
16/09/2008|30/09/2008|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|98.24|"7|7"
01/10/2008|31/10/2008|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|98.24|"7|7"
01/11/2008|31/12/2008|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|102.54|"7|7"
01/01/2009|28/02/2009|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|99.01|"7|7"
01/03/2009|30/04/2009|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|106.97|"7|7"
01/05/2009|30/06/2009|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|105.19|"7|7"
01/07/2009|31/07/2009|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|111.57|"7|7"
01/08/2009|31/08/2009|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|111.57|"7|7"
01/09/2009|15/10/2009|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|107.72|"7|7"
16/10/2009|31/10/2009|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|107.72|"7|7"
01/11/2009|31/12/2009|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|113.98|"7|7"
01/01/2010|28/02/2010|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|113.41|"7|7"
01/03/2010|30/04/2010|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|114.32|"7|7"
01/05/2010|30/06/2010|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|113.19|"7|7"
01/07/2010|31/08/2010|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|135.0|"7|7"
01/09/2010|31/10/2010|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|124.25|"7|7"
01/11/2010|15/11/2010|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|118.8|"7|7"
16/11/2010|31/12/2010|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|120.47|"7|7"
01/01/2011|28/02/2011|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|124.47|"7|7"
01/03/2011|30/04/2011|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|116.43|"7|7"
01/05/2011|30/06/2011|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|121.58|"7|7"
01/07/2011|31/08/2011|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|144.72|"7|7"
01/09/2011|31/10/2011|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|125.5|"7|7"
01/11/2011|31/12/2011|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|123.81|"7|7"
01/01/2012|29/02/2012|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|129.27|"7|7"
01/03/2012|30/04/2012|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|144.79|"7|7"
01/05/2012|30/06/2012|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|121.54|"7|7"
01/07/2012|31/08/2012|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|142.72|"7|7"
01/09/2012|31/10/2012|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|128.62|"7|7"
01/11/2012|31/12/2012|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|124.52|"7|7"
01/01/2013|15/01/2013|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|132.6|"7|7"
16/01/2013|28/02/2013|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|139.3|"7|7"
01/03/2013|30/04/2013|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|138.93|"7|7"
01/05/2013|30/06/2013|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|136.63|"7|7"
01/07/2013|31/08/2013|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|128.39|"7|7"
01/09/2013|31/10/2013|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|130.02|"7|7"
01/11/2013|30/11/2013|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|134.6|"7|7"
01/12/2013|31/12/2013|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|143.59|"7|7"
01/01/2014|28/02/2014|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|144.76|"7|7"
01/03/2014|30/04/2014|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|150.71|"7|7"
01/05/2014|30/06/2014|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|138.46|"7|7"
01/07/2014|31/08/2014|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|158.62|"7|7"
01/09/2014|15/10/2014|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|141.21|"7|7"
16/10/2014|31/10/2014|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|148.78|"7|7"
01/11/2014|31/12/2014|OPERADORA WAL MART, S. DE R.L. DE C.V. |Y541687810|CIUDAD DE MÉXICO|151.5|"7|7"
